Date,Open,High,Low,Close,Volume,Change
2021-02-10,46700,47650,46550,47150,241391,0.010718113612004254
2021-02-15,47300,47850,46850,47150,187764,0.0
2021-02-16,47100,48900,46600,48550,412774,0.02969247083775195
2021-02-17,49000,49250,48100,48600,252729,0.001029866117404632
2021-02-18,48450,48450,46800,46900,312823,-0.034979423868312765
2021-02-19,46900,47350,45350,46000,284527,-0.019189765458422214
2021-02-22,45800,46800,44150,44800,409783,-0.02608695652173909
2021-02-23,44400,46550,43900,46150,328700,0.030133928571428603
2021-02-24,46150,47050,44300,44700,370891,-0.031419284940411685
2021-02-25,45600,46350,44200,46050,361085,0.030201342281879207
2021-02-26,44700,46200,44550,45700,287166,-0.007600434310532034
2021-03-02,46600,46950,45100,45900,318182,0.004376367614879584
2021-03-03,45750,47400,45600,47100,244681,0.02614379084967311
2021-03-04,46600,49750,46300,49150,947827,0.043524416135881205
2021-03-05,48900,50500,48400,50300,634551,0.02339776195320442
2021-03-08,51400,51400,48500,49850,521353,-0.008946322067594381
2021-03-09,49600,50400,47600,48500,372047,-0.027081243731193583
2021-03-10,49000,49050,47100,47100,243453,-0.028865979381443307
2021-03-11,47450,48400,46900,48400,270090,0.027600849256900206
2021-03-12,48600,48800,47650,48350,292067,-0.0010330578512396382
2021-03-15,48500,49400,47750,49250,271725,0.018614270941054833
2021-03-16,49550,49800,48900,49300,203484,0.0010152284263960087
2021-03-17,49550,50600,49350,49750,368438,0.009127789046653234
2021-03-18,49850,50100,48000,48150,345708,-0.032160804020100464
2021-03-19,47500,48150,47300,48000,186223,-0.0031152647975077885
2021-03-22,48150,48600,47700,47950,166417,-0.0010416666666667185
2021-03-23,48350,48750,47500,47550,209463,-0.008342022940563076
2021-03-24,47100,47600,46350,46550,340911,-0.02103049421661407
2021-03-25,46000,46350,45000,46250,334258,-0.0064446831364124435
2021-03-26,46050,46750,44800,45250,448765,-0.021621621621621623
2021-03-29,44650,45250,44050,45100,335232,-0.0033149171270717703
2021-03-30,45050,45550,44900,45050,168605,-0.0011086474501108556
2021-03-31,45200,45500,44450,44500,245319,-0.01220865704772478
2021-04-01,44600,45300,44600,45250,135729,0.016853932584269593
2021-04-02,45050,45650,44900,45300,153195,0.0011049723756906271
2021-04-05,45850,46500,45200,46000,272946,0.015452538631346657
2021-04-06,46050,46250,45500,46150,152077,0.003260869565217428
2021-04-07,46600,47650,46000,46200,388178,0.0010834236186347823
2021-04-08,46200,46350,45500,46200,167092,0.0
2021-04-09,46000,46350,45300,45350,255926,-0.018398268398268414
2021-04-12,45300,45600,44600,45100,192923,-0.005512679162072764
2021-04-13,44950,45600,44900,45250,146391,0.003325942350332678
2021-04-14,45200,45400,44900,44900,185538,-0.007734806629834279
2021-04-15,44900,45250,44550,44600,251105,-0.006681514476614692
2021-04-16,44900,45200,44700,45100,158281,0.011210762331838486
2021-04-19,44950,45200,44650,44950,130606,-0.003325942350332567
2021-04-20,44850,45300,44700,45200,122269,0.005561735261401468
2021-04-21,44900,45050,44500,44500,168340,-0.015486725663716783
2021-04-22,44700,44800,44350,44550,108269,0.0011235955056179137
2021-04-23,44350,44450,43750,43850,198488,-0.015712682379349086
2021-04-26,44050,44500,43350,44500,232393,0.014823261117445918
2021-04-27,44100,44200,43600,43850,196557,-0.014606741573033655
2021-04-28,43800,43800,42900,42950,168465,-0.02052451539338651
2021-04-29,42800,43250,42150,42400,143744,-0.012805587892898762
2021-04-30,42050,42350,41550,41550,195925,-0.02004716981132071
2021-05-03,41250,42400,40900,41000,142708,-0.013237063778580027
2021-05-04,40600,41000,39750,40950,188673,-0.0012195121951219523
2021-05-06,40200,40800,39750,40600,168168,-0.008547008547008517
2021-05-07,40600,42200,40550,41900,216227,0.03201970443349755
2021-05-10,42350,42350,41850,41900,157243,0.0
2021-05-11,41750,41800,41150,41500,135232,-0.009546539379474916
2021-05-12,41500,45000,41350,44500,866475,0.07228915662650603
2021-05-13,43100,45050,43000,44900,489329,0.008988764044943753
2021-05-14,45400,45400,44050,45100,227271,0.00445434298440972
2021-05-17,45100,46400,44750,46100,561788,0.022172949002217335
2021-05-18,46050,47800,46050,47250,742313,0.024945770065075923
2021-05-20,46800,48800,46600,48350,727699,0.023280423280423346
2021-05-21,48300,49650,47800,47950,721541,-0.008273009307135482
2021-05-24,48000,49450,47600,49050,506747,0.02294056308654846
2021-05-25,49100,50800,48600,50000,538883,0.019367991845056
2021-05-26,50100,50600,49100,50000,319239,0.0
2021-05-27,50400,50500,48600,50500,350836,0.010000000000000009
2021-05-28,50100,50300,48750,49400,369453,-0.0217821782178218
2021-05-31,49200,52500,48700,50900,674788,0.030364372469635637
2021-06-01,51100,51200,49900,50900,227605,0.0
2021-06-02,51100,51100,50100,51000,166412,0.0019646365422396617
2021-06-03,50600,51400,50300,50400,221624,-0.0117647058823529
2021-06-04,50400,50800,49600,49900,215430,-0.009920634920634885
2021-06-07,50500,51400,49400,50000,218007,0.002004008016031955
2021-06-08,49350,49750,47750,47950,351401,-0.041000000000000036
2021-06-09,47950,49500,47700,48350,177552,0.008342022940563076
2021-06-10,48650,48650,47800,47900,190766,-0.009307135470527417
2021-06-11,47950,49750,47850,49750,194177,0.03862212943632559
2021-06-14,50400,51500,49750,50700,405422,0.019095477386934734
2021-06-15,50700,53700,50200,52400,865036,0.0335305719921104
2021-06-16,52200,53900,51600,52700,338268,0.005725190839694694
2021-06-17,52700,54000,51900,53700,348393,0.018975332068311257
2021-06-18,54000,55400,53200,54800,424689,0.020484171322160183
2021-06-21,54000,54600,51800,52800,342244,-0.03649635036496346
2021-06-22,53100,53900,51700,52200,284523,-0.011363636363636354
2021-06-23,52400,55900,52100,55300,665611,0.059386973180076685
2021-06-24,55500,55600,54100,54200,224999,-0.019891500904159143
2021-06-25,54400,54400,51000,51100,560420,-0.05719557195571956
2021-06-28,50900,51700,50000,50400,259753,-0.013698630136986356
2021-06-29,50600,51600,49750,50400,295389,0.0
2021-06-30,50600,51800,50100,51200,193495,0.015873015873015817
2021-07-01,51100,52500,50600,51900,195619,0.013671875
2021-07-02,52600,52600,50400,51400,177267,-0.009633911368015391
2021-07-05,51600,52900,51400,52600,175991,0.023346303501945442
2021-07-06,53200,53500,52300,52700,160084,0.0019011406844107182
2021-07-07,52700,52700,50800,51200,180483,-0.028462998102466774
2021-07-08,51200,51600,49750,50500,286953,-0.013671875
2021-07-09,49650,50300,48100,49400,415133,-0.0217821782178218
2021-07-12,49450,50300,48600,50000,164912,0.012145748987854255
2021-07-13,50500,54400,50300,53600,605243,0.07200000000000006
2021-07-14,53300,56200,52700,55400,569273,0.033582089552238736
2021-07-15,55800,57300,54900,55700,404488,0.005415162454873723
2021-07-16,56000,57600,55600,56900,265741,0.021543985637342944
2021-07-19,56500,57200,55800,56600,210854,-0.005272407732864637
2021-07-20,55700,56900,53600,54300,396663,-0.04063604240282681
2021-07-21,55600,58600,55400,56200,582735,0.03499079189686927
2021-07-22,56700,56800,55600,55800,258602,-0.007117437722419906
2021-07-23,56000,56600,55000,56200,182528,0.007168458781362075
2021-07-26,56800,58000,56000,56500,249669,0.005338078291814874
2021-07-27,56300,56500,53700,54400,313286,-0.03716814159292037
2021-07-28,54100,54900,52900,53800,178080,-0.011029411764705843
2021-07-29,53700,55100,53300,54100,120169,0.005576208178438735
2021-07-30,54200,54300,52500,52700,164704,-0.025878003696857665
2021-08-02,52700,54400,52400,53700,171802,0.018975332068311257
2021-08-03,54500,54700,52700,52800,169614,-0.016759776536312887
2021-08-04,53000,56200,52700,55000,383110,0.04166666666666674
2021-08-05,55000,55200,53800,54400,132981,-0.010909090909090868
2021-08-06,54700,57700,53500,57200,477531,0.05147058823529416
2021-08-09,57300,58800,56700,57700,396759,0.00874125874125875
2021-08-10,58000,58100,55300,55500,270362,-0.03812824956672445
2021-08-11,55800,56900,54500,55200,224755,-0.00540540540540535
2021-08-12,55700,62400,54500,61600,2444711,0.11594202898550732
2021-08-13,61900,62100,59900,61300,700038,-0.004870129870129913
2021-08-17,60800,62200,58000,59300,571695,-0.03262642740619903
2021-08-18,59700,60100,57000,59600,485399,0.005059021922428242
2021-08-19,58600,60200,58000,58700,333940,-0.015100671140939603
2021-08-20,59400,59500,54100,55400,612081,-0.05621805792163548
2021-08-23,56900,58600,55800,58200,376786,0.05054151624548742
2021-08-24,59200,60300,57400,60000,440385,0.030927835051546282
2021-08-25,60800,61000,59100,60200,251663,0.0033333333333334103
2021-08-26,61300,63300,60200,62100,639248,0.03156146179401986
2021-08-27,61400,62100,58700,60800,407481,-0.020933977455716568
2021-08-30,60800,61200,58400,60000,328547,-0.013157894736842146
2021-08-31,59100,62200,58900,60600,343948,0.010000000000000009
2021-09-01,60600,61600,59700,60600,166318,0.0
2021-09-02,60900,61200,58800,59000,220479,-0.02640264026402639
2021-09-03,59000,60300,56200,57500,528883,-0.025423728813559365
2021-09-06,56900,58400,56100,58300,233822,0.013913043478260834
2021-09-07,58400,59400,57100,58500,240580,0.0034305317324185847
2021-09-08,58600,58600,55700,56000,359946,-0.042735042735042694
2021-09-09,55700,56900,55200,56200,320909,0.0035714285714285587
2021-09-10,55800,56800,51700,55300,751410,-0.016014234875444844
2021-09-13,55700,55700,52600,53000,467398,-0.04159132007233268
2021-09-14,53100,54400,53000,53800,336701,0.015094339622641506
2021-09-15,54000,54500,53100,53400,183243,-0.0074349442379182396
2021-09-16,55500,56900,54000,54500,507960,0.020599250936329527
2021-09-17,54100,54800,53100,54500,245192,0.0
2021-09-23,54400,54400,52800,52800,277758,-0.031192660550458662
2021-09-24,53400,53600,52400,52900,178032,0.0018939393939394478
2021-09-27,52900,54400,52200,53200,256341,0.005671077504725952
2021-09-28,54300,57300,53600,56300,825335,0.05827067669172936
2021-09-29,55500,58800,55200,58000,858459,0.030195381882770933
2021-09-30,58000,62000,57700,61800,820108,0.06551724137931036
2021-10-01,61800,64000,61300,61600,701094,-0.003236245954692518
2021-10-05,61600,67000,61100,64800,1225193,0.051948051948051965
2021-10-06,65300,66100,63300,64700,584890,-0.0015432098765432167
2021-10-07,65500,69000,64500,65700,1164215,0.015455950540958163
2021-10-08,64800,65000,62100,63300,748330,-0.0365296803652968
2021-10-12,62900,64700,59300,59700,725388,-0.056872037914691975
2021-10-13,60300,60800,59200,59800,316905,0.0016750418760469454
2021-10-14,60000,63700,59200,62600,688482,0.04682274247491636
2021-10-15,63200,64300,62200,63000,342626,0.006389776357827559
2021-10-18,64600,64900,62300,63000,432368,0.0
2021-10-19,63500,65200,61700,64300,474996,0.02063492063492056
2021-10-20,64800,68400,64500,67400,887670,0.04821150855365475
2021-10-21,67500,68900,66000,67200,510039,-0.0029673590504450953
2021-10-22,66500,67800,64500,65400,505967,-0.0267857142857143
2021-10-25,65600,68000,65000,66500,436817,0.01681957186544336
2021-10-26,67000,71500,66400,70900,892100,0.06616541353383454
2021-10-27,70500,73500,70400,71500,668909,0.008462623413258097
2021-10-28,71800,73100,67500,68300,731979,-0.04475524475524473
2021-10-29,69200,70700,67900,70300,374364,0.029282576866764165
2021-11-01,71000,72400,69000,70700,380006,0.005689900426742556
2021-11-02,71700,73700,70000,73000,444663,0.032531824611032434
2021-11-03,72900,73000,70500,70600,352407,-0.0328767123287671
2021-11-04,72000,72000,69400,69800,318532,-0.011331444759206777
2021-11-05,69800,72100,68600,70300,333177,0.007163323782235054
2021-11-08,71400,71900,69500,71400,301364,0.01564722617354186
2021-11-09,72000,73900,69900,73100,497572,0.023809523809523725
2021-11-10,72700,72700,69300,70700,360823,-0.03283173734610123
2021-11-11,69400,73500,69400,72400,456510,0.0240452616690241
2021-11-12,75700,75800,70100,71500,783689,-0.012430939226519389
2021-11-15,71300,72000,70200,70900,461151,-0.008391608391608352
